id,class,gearScore,dps,percent,date,duration,dead,weird
1013479,Full Bloom,1635.0,606119,0.4,1714706307792,848357,False,True
1013479,Desperate Salvation,1630.8299560546875,618530,0.5,1714706307792,848357,False,True
1013479,Surge,1640.0,40076057,29.5,1714706307792,848357,False,True
1013479,Pinnacle,1637.5,26497378,19.5,1714706307792,848357,False,True
1013479,Princess Maker,1642.5,4926384,3.6,1714706307792,848357,True,True
1013479,Ultimate Skill: Taijutsu,1631.6600341796875,22012807,16.2,1714706307792,848357,False,True
1013479,Igniter,1655.0,14376974,10.6,1714706307792,848357,True,True
1013479,Esoteric Skill Enhancement,1630.0,26627307,19.6,1714706307792,848357,False,True
1013397,Drizzle,1635.8299560546875,18726718,15.8,1714705386520,974926,False,False
1013397,Surge,1637.5,26467680,22.4,1714705386520,974926,False,False
1013397,Hunger,1637.5,21989542,18.6,1714705386520,974926,True,False
1013397,Full Bloom,1631.6600341796875,543332,0.5,1714705386520,974926,False,False
1013397,Igniter,1634.1600341796875,18888177,16.0,1714705386520,974926,True,False
1013397,Desperate Salvation,1631.6600341796875,234459,0.2,1714705386520,974926,True,False
1013397,Esoteric Skill Enhancement,1640.0,17776639,15.0,1714705386520,974926,False,False
1013397,Combat Readiness,1634.1600341796875,13582646,11.5,1714705386520,974926,True,False
1013362,Desperate Salvation,1631.6600341796875,651308,0.4,1714705204181,767063,True,False
1013362,Desperate Salvation,1631.6600341796875,602442,0.4,1714705204181,767063,False,False
1013362,Peacemaker,1633.3299560546875,24691710,16.3,1714705204181,767063,False,False
1013362,Lunar Voice,1630.0,19949654,13.2,1714705204181,767063,False,False
1013362,Ultimate Skill: Taijutsu,1630.0,23695762,15.6,1714705204181,767063,False,False
1013362,Perfect Suppression,1630.0,26211016,17.3,1714705204181,767063,False,False
1013362,Death Strike,1630.8299560546875,30241113,20.0,1714705204181,767063,False,False
1013362,Esoteric Skill Enhancement,1630.8299560546875,25471763,16.8,1714705204181,767063,False,False
1013289,Desperate Salvation,1634.1600341796875,649825,0.5,1714704237073,923953,False,False
1013289,Desperate Salvation,1630.0,642813,0.5,1714704237073,923953,False,False
1013289,Mayhem,1630.0,16116550,12.8,1714704237073,923953,False,False
1013289,Peacemaker,1630.0,22926269,18.2,1714704237073,923953,False,False
1013289,Peacemaker,1633.3299560546875,20264140,16.1,1714704237073,923953,True,False
1013289,Lunar Voice,1630.0,27322099,21.7,1714704237073,923953,False,False
1013289,Perfect Suppression,1634.1600341796875,12736960,10.1,1714704237073,923953,True,False
1013289,Master Summoner,1634.1600341796875,25009756,19.9,1714704237073,923953,False,False
1013182,Full Bloom,1630.8299560546875,570541,0.4,1714703124725,824803,False,False
1013182,Desperate Salvation,1630.0,589135,0.4,1714703124725,824803,False,False
1013182,Surge,1640.8299560546875,27129615,19.4,1714703124725,824803,False,False
1013182,Surge,1635.8299560546875,23264494,16.7,1714703124725,824803,True,False
1013182,Lone Knight,1640.0,15435369,11.0,1714703124725,824803,False,False
1013182,Peacemaker,1634.1600341796875,19272595,13.8,1714703124725,824803,True,False
